Time [s],Value,Parity Error,Framing Error
3.578743360000000,0x74,,
3.578829920000000,0x20,,
3.578916640000000,0x6D,,
3.579003200000000,0x6F,,
3.579089920000000,0x6C,,
3.579176640000000,0x6C,,
3.579263200000000,0x69,,
3.579349920000000,0x74,,
3.579436480000000,0x20,,
3.579523040000000,0x61,,
3.579609600000000,0x6E,,
3.579696320000000,0x69,,
3.579782880000000,0x6D,,
3.579869600000000,0x20,,
3.579956320000000,0x69,,
3.580043200000000,0x64,,
3.580129920000000,0x20,,
3.580216640000000,0x65,,
3.580303360000000,0x73,,
3.580389920000000,0x74,,
3.580476480000000,0x20,,
3.580563200000000,0x6C,,
3.580649760000000,0x61,,
3.580736480000000,0x62,,
3.580823040000000,0x6F,,
3.580909760000000,0x72,,
3.580996320000000,0x75,,
3.581082880000000,0x6D,,
3.581169600000000,0x2E,,
3.581256160000000,0x20,,
3.581342880000000,0x43,,
3.581429440000000,0x75,,
3.581516160000000,0x72,,
3.581602720000000,0x61,,
3.581689440000000,0x62,,
3.581776160000000,0x69,,
3.581862720000000,0x74,,
3.581949440000000,0x75,,
3.582036160000000,0x72,,
3.582122880000000,0x20,,
3.582209440000000,0x70,,
3.582296000000000,0x72,,
3.582382560000000,0x65,,
3.582469280000000,0x74,,
3.582555840000000,0x69,,
3.582642560000000,0x75,,
3.582729120000000,0x6D,,
3.582815840000000,0x20,,
3.582902560000000,0x0A,,
3.582989120000000,0x74,,
3.583075840000000,0x69,,
3.583162400000000,0x6E,,
3.583249120000000,0x63,,
3.583336000000000,0x69,,
3.583422720000000,0x64,,
3.583509440000000,0x75,,
3.583596320000000,0x6E,,
3.583683040000000,0x74,,
3.583769760000000,0x20,,
3.583856480000000,0x6C,,
3.583943200000000,0x61,,
3.584029920000000,0x63,,
3.584116640000000,0x75,,
3.584203360000000,0x73,,
3.584290240000000,0x2E,,
3.584377120000000,0x20,,
3.584464000000000,0x4E,,
3.584550880000000,0x75,,
3.584637760000000,0x6C,,
3.584724640000000,0x6C,,
3.584811360000000,0x61,,
3.584898080000000,0x20,,
3.584984960000000,0x67,,
3.585071680000000,0x72,,
3.585158560000000,0x61,,
3.585245120000000,0x76,,
3.585331840000000,0x69,,
3.585418400000000,0x64,,
3.585504960000000,0x61,,
3.585591520000000,0x20,,
3.585678240000000,0x6F,,
3.585764800000000,0x72,,
3.585851520000000,0x63,,
3.585938240000000,0x69,,
3.586024960000000,0x20,,
3.586111680000000,0x61,,
3.586198560000000,0x20,,
3.586285280000000,0x6F,,
3.586372160000000,0x64,,
3.586458880000000,0x69,,
3.586545760000000,0x6F,,
3.586632640000000,0x45,,
3.591335680000000,0x01,,
3.591422400000000,0x05,,
3.591508960000000,0xFA,,
3.591595680000000,0x2E,,
3.591682400000000,0x20,,
3.591769120000000,0x4E,,
3.591855840000000,0x75,,
3.591942400000000,0x6C,,
3.592029120000000,0x6C,,
3.592115840000000,0x61,,
3.592202560000000,0x6D,,
3.592289280000000,0x20,,
3.592376000000000,0x76,,
3.592462560000000,0x61,,
3.592549120000000,0x72,,
3.592635680000000,0x69,,
3.592722400000000,0x75,,
3.592809120000000,0x73,,
3.592896000000000,0x2C,,
3.592982560000000,0x20,,
3.593069280000000,0x74,,
3.593156000000000,0x75,,
3.593242720000000,0x72,,
3.593329440000000,0x70,,
3.593416160000000,0x69,,
3.593502880000000,0x73,,
3.593589440000000,0x20,,
3.593676160000000,0x65,,
3.593762880000000,0x74,,
3.593849440000000,0x20,,
3.593936160000000,0x63,,
3.594022880000000,0x6F,,
